l,branch_name,from_bus,to_bus,suscept,available
1,Branch_1,4183,4274,143.67816091954023,1
2,Branch_2,3146,4102,2000.0,1
3,Branch_3,2873,2889,2000.0,1
4,Branch_4,3528,3794,51.4668039114771,1
5,Branch_5,3291,5142,127.2264631043257,1
6,Branch_6,2984,3182,89.28571428571429,1
7,Branch_7,9088,9259,2000.0,1
8,Branch_8,5465,5551,67.24949562878278,1
9,Branch_9,5465,5642,72.67441860465117,1
10,Branch_10,5465,5494,129.5336787564767,1
11,Branch_11,3541,4498,2000.0,1
12,Branch_12,1882,1906,28.153153153153152,1
13,Branch_13,3592,4478,1123.5955056179776,1
14,Branch_14,3592,3768,182.4817518248175,1
15,Branch_15,2744,3721,159.4896331738437,1
16,Branch_17,3378,4127,96.43201542912247,1
17,Branch_18,2840,3376,138.69625520110958,1
18,Branch_19,2840,3190,87.71929824561404,1
19,Branch_20,3190,3721,107.29613733905579,1
20,Branch_22,3445,5021,107.75862068965517,1
21,Branch_23,3376,5021,375.9398496240602,1
22,Branch_24,3380,4386,57.93742757821553,1
23,Branch_25,3380,3445,74.96251874062969,1
24,Branch_26,2402,2623,11.723329425556859,1
25,Branch_27,4204,4478,289.8550724637681,1
26,Branch_28,4386,4695,36.205648081100655,1
27,Branch_29,2941,3661,112.73957158962796,1
28,Branch_30,3506,3661,75.24454477050413,1
29,Branch_31,2941,3062,58.75440658049354,1
30,Branch_32,3661,4695,50.53057099545225,1
31,Branch_33,4386,4993,28.951939779965258,1
32,Branch_35,3570,4386,46.403712296983755,1
33,Branch_36,3570,4073,18.96453631708705,1
34,Branch_37,3565,4998,58.9622641509434,1
35,Branch_38,1954,2268,342.4657534246575,1
36,Branch_39,3179,3851,160.0,1
37,Branch_40,4321,4442,256.4102564102564,1
38,Branch_41,3249,3851,649.3506493506494,1
39,Branch_42,3249,3485,1639.344262295082,1
40,Branch_43,3485,4442,156.49452269170578,1
41,Branch_46,3376,4996,96.15384615384616,1
42,Branch_47,2057,2407,117.78563015312132,1
43,Branch_49,3484,4323,97.18172983479106,1
44,Branch_50,3484,3831,826.4462809917355,1
45,Branch_51,3831,3852,793.6507936507936,1
46,Branch_52,3179,5079,150.37593984962405,1
47,Branch_53,3852,5079,1075.268817204301,1
48,Branch_56,5018,5055,157.48031496062993,1
49,Branch_57,3368,5055,1282.051282051282,1
50,Branch_58,3447,5055,268.81720430107526,1
51,Branch_60,3143,3807,78.98894154818325,1
52,Branch_63,3143,3561,115.2073732718894,1
53,Branch_64,3194,3561,346.02076124567475,1
54,Branch_65,2902,3194,134.2281879194631,1
55,Branch_66,3765,4258,166.9449081803005,1
56,Branch_70,3765,3807,200.40080160320642,1
57,Branch_71,3163,3807,165.56291390728478,1
58,Branch_73,3194,4779,50.25125628140704,1
59,Branch_74,4258,5018,126.90355329949239,1
60,Branch_75,5018,5054,157.48031496062993,1
61,Branch_76,3367,5054,1562.5,1
62,Branch_77,1800,2500,76.21951219512195,1
63,Branch_78,4024,4204,283.28611898017,1
64,Branch_79,4024,4274,118.48341232227489,1
65,Branch_80,3635,4409,980.3921568627451,1
66,Branch_85,3418,4409,222.22222222222223,1
67,Branch_87,3256,4409,166.11295681063123,1
68,Branch_93,3418,4767,2000.0,1
69,Branch_94,4668,4767,163.3986928104575,1
70,Branch_95,4273,4668,434.7826086956522,1
71,Branch_97,3256,5018,2000.0,1
72,Branch_98,3113,4778,59.73715651135006,1
73,Branch_99,4411,4778,55.40166204986149,1
74,Branch_100,4229,4273,98.91196834817013,1
75,Branch_101,3871,4229,59.171597633136095,1
76,Branch_102,3871,4161,58.445353594389246,1
77,Branch_103,3191,4411,163.3986928104575,1
78,Branch_104,4161,4778,37.764350453172206,1
79,Branch_105,4552,4559,276.24309392265195,1
80,Branch_106,4551,4559,276.24309392265195,1
81,Branch_107,1954,2121,147.27540500736376,1
82,Branch_108,2934,4617,362.3188405797101,1
83,Branch_111,2779,2934,2000.0,1
84,Branch_112,3179,4002,201.61290322580646,1
85,Branch_113,3142,3973,116.95906432748538,1
