l,branch_name,from_bus,to_bus,suscept,available
1,Branch_2592,2788,5231,259.7402597402597,1
2,Branch_10019,7578,7581,5.73394495412844,1
3,Branch_6869,5617,5679,124.84394506866417,1
4,EQ-2994-3255-S,2994,3255,94.87666034155598,1
5,Branch_5237,5990,6076,131.57894736842104,1
6,Branch_8257,3184,3187,17.5377060680463,1
7,Branch_959,2548,2679,110.13215859030836,1
8,Branch_8805,8442,8443,8.874689385871495,1
9,Branch_8822,6349,6358,9.818360333824252,1
10,Branch_6846,2882,4268,25.131942699170647,1
11,Branch_1192,9204,9290,5.304195618734419,1
12,Branch_2003,3334,5191,110.74197120708749,1
13,Branch_9071,830,883,64.02048655569783,1
14,Branch_3356,9194,9908,2000.0,1
15,Branch_8752,5126,5128,5.420054200542006,1
16,EQ-8014-8172-S,8014,8172,9.345794392523365,1
17,Branch_9789,7935,7943,46.860356138706656,1
18,Branch_7931,441,562,2000.0,1
19,Branch_8785,1615,7535,7.263746640517179,1
20,Branch_8997,7299,7560,20.846362309776943,1
21,Branch_9,5623,5802,72.67441860465117,1
22,Branch_10254,2908,2909,8.987148377819718,1
23,Branch_9072,7164,7399,17.421602787456447,1
24,Branch_1596,3660,5194,99.00990099009901,1
25,Branch_7214,1828,1829,4.13992962119644,1
26,Branch_491,8226,8334,99.10802775024777,1
27,EQ-2189-2442-S,2189,2442,68.96551724137932,1
28,Branch_9174,3690,3694,46.403712296983755,1
29,Branch_3663,5682,5705,8.918219923303308,1
30,Branch_9720,3182,4027,111.48272017837235,1
31,Branch_8320,4255,4263,-467.2897196261682,1
32,Branch_55,5011,5056,157.48031496062993,1
33,EQ-2088-2297-S,2088,2297,23.277467411545622,1
34,Branch_2940,7966,7988,16.515276630883566,1
35,EQ-3091-4742-S,3091,4742,34.447123665173955,1
36,Branch_2208,8862,9009,172.41379310344828,1
37,Branch_8684,6705,6707,15.160703456640388,1
38,Branch_10261,192,1199,163.9344262295082,1
39,Branch_4292,1118,1121,13.315579227696405,1
