gen,generator_name,n,cap
1,GN_1,2192,
2,GN_6,3454,
3,GN_7,7017,
4,GN_11,8735,54.0
5,GN_15,8739,193.3
6,GN_21,9843,
7,GN_23,8673,
8,GN_29,3755,
9,GN_30,3754,
10,GN_32,1058,36.0
11,GN_33,1054,4.941860475
12,GN_36,1056,
13,GN_38,1052,90.12875536
14,GN_41,5689,
15,GN_42,5688,
16,GN_53,4200,
17,GN_56,4141,
18,GN_57,4141,
19,GN_66,8106,
20,GN_69,5672,
21,GN_70,5672,
22,GN_73,7567,
23,GN_74,5977,
24,GN_75,5978,
25,GN_77,3243,20.0
26,GN_81,4122,
27,GN_82,4121,
28,GN_95,102,62.0
29,GN_96,103,61.0
30,GN_97,104,64.3
31,GN_99,9591,
32,GN_102,8246,
33,GN_103,8247,
34,GN_105,7483,
35,GN_109,4146,
36,GN_111,9694,
37,GN_113,8653,
38,GN_114,305,51.0
39,GN_116,307,51.0
40,GN_117,308,50.5
41,GN_131,2159,
42,GN_133,2160,
43,GN_134,8907,
44,GN_139,8787,
45,GN_141,8651,
46,GN_153,7729,
47,GN_156,9678,
48,GN_160,9617,
49,GN_166,8872,
50,GN_170,2758,
51,GN_171,2756,
52,GN_172,2759,
53,GN_182,9814,
54,GN_188,2972,
55,GN_189,2972,
56,GN_194,1586,135.84375
57,GN_195,1588,213.46875
58,GN_196,347,51.0
59,GN_197,348,51.0
60,GN_200,351,47.8
61,GN_205,3680,
62,GN_207,5527,
63,GN_210,3576,
64,GN_215,6927,
65,GN_226,1241,28.375
66,GN_227,1243,28.375
67,GN_229,8944,292.0
68,GN_233,9732,
69,GN_237,2269,785.0
70,GN_248,9612,
71,GN_256,4193,
72,GN_269,7273,
73,GN_270,9569,
74,GN_271,120,328.161699955
75,GN_274,491,121.0625
76,GN_276,494,30.0
77,GN_278,487,122.2875
78,GN_279,488,122.2875
79,GN_281,489,96.586080512
80,GN_290,9544,
81,GN_294,4069,
82,GN_295,4066,
83,GN_300,158,44.0
84,GN_302,3886,
85,GN_305,1263,244.0
86,GN_311,5933,
87,GN_313,5325,
88,GN_318,1776,
89,GN_319,5935,
90,GN_321,5927,
91,GN_324,8170,
92,GN_326,8188,
93,GN_327,8926,
94,GN_328,5809,
95,GN_329,5809,
96,GN_331,5809,
97,GN_334,8758,
98,GN_341,7423,0.0
99,GN_343,6111,1227.0
100,GN_351,498,
101,GN_352,3851,
102,GN_356,1770,
103,GN_360,1612,165.358521018
104,GN_362,327,
105,GN_363,328,
106,GN_365,3020,48.0
107,GN_366,3024,48.0
108,GN_370,358,
109,GN_382,6554,81.0
110,GN_384,9061,
111,GN_386,1210,208.479747231
112,GN_396,6780,56.5
113,GN_400,8876,
114,GN_414,999,
115,GN_420,8244,
116,GN_429,509,0.0
117,GN_431,513,0.0
118,GN_433,503,25.75
119,GN_443,7618,
120,GN_445,7615,
121,GN_449,9287,188.834042652
122,GN_452,9059,
123,GN_454,2221,
124,GN_456,2211,
125,GN_457,7115,163.7
126,GN_458,7116,165.7
127,GN_459,4002,
128,GN_460,7601,
129,GN_463,6844,
130,GN_469,8936,
131,GN_471,5912,
132,GN_474,4814,
133,GN_477,5781,
134,GN_482,7548,
135,GN_484,7549,
136,GN_491,1333,3.275
137,GN_494,1332,1.0
138,GN_505,9243,
139,GN_506,9242,
140,GN_507,8918,
141,GN_511,5775,
142,GN_513,5775,
143,GN_516,3983,197.093023085
144,GN_517,4044,
145,GN_518,4044,
146,GN_520,5837,
147,GN_522,5835,
148,GN_523,7945,
149,GN_524,7945,
150,GN_529,4934,
151,GN_535,1408,0.0
152,GN_536,1428,0.0
153,GN_539,1435,0.0
154,GN_542,1410,26.50306752
155,GN_544,1414,0.0
156,GN_549,3866,
157,GN_559,3003,171.645833155
158,GN_567,6733,183.872164998
159,GN_575,8232,
160,GN_589,980,68.0
161,GN_591,983,53.0
162,GN_593,985,67.0
163,GN_594,1859,
164,GN_596,2428,132.0
165,GN_597,2430,330.0
166,GN_604,8899,
167,GN_613,8715,
168,GN_614,2249,
169,GN_618,9415,
170,GN_626,5213,239.0
171,GN_641,5881,
172,GN_643,7485,
173,GN_658,2022,
174,GN_667,7449,
175,GN_668,7450,
176,GN_677,4424,435.0
177,GN_682,4104,
178,GN_683,4105,
179,GN_684,365,
180,GN_685,366,
181,GN_686,2977,
182,GN_688,8763,
183,GN_690,7667,
184,GN_695,8710,
185,GN_704,1532,
186,GN_705,6432,
187,GN_707,7709,
188,GN_718,8885,
189,GN_719,8884,
190,GN_720,8884,
191,GN_735,1767,51.0
192,GN_740,412,
193,GN_745,5355,301.50201452
194,GN_747,9926,
195,GN_762,2945,
196,GN_764,6878,
197,GN_766,7989,
198,GN_772,8418,161.685
199,GN_775,9527,
200,GN_782,9559,103.0
201,GN_784,9353,
202,GN_787,2187,
203,GN_790,1848,46.0
204,GN_792,1850,46.0
205,GN_793,1851,46.0
206,GN_795,3261,
207,GN_797,7523,
208,GN_798,3878,
209,GN_801,9476,94.754098296
210,GN_803,5478,
211,GN_806,8725,
212,GN_807,4973,392.0
213,GN_809,5116,
214,GN_813,5656,
215,GN_815,9795,
216,GN_818,7222,
217,GN_820,6031,
218,GN_826,3880,
219,GN_827,3879,
220,GN_834,1944,178.74509806
221,GN_836,8588,184.58598744
222,GN_841,8592,231.567567672
223,GN_843,9578,
224,GN_844,9778,
225,GN_847,9619,
226,GN_849,1085,
227,GN_852,9837,
228,GN_856,152,
229,GN_858,2639,
230,GN_863,1974,
231,GN_869,4130,
232,GN_874,4126,
233,GN_876,4127,
234,GN_878,9590,
235,GN_886,6038,118.0
236,GN_890,4892,266.5
237,GN_896,5763,
238,GN_897,7099,
239,GN_902,3786,76.125
240,GN_903,3789,75.975
241,GN_906,3785,78.225
242,GN_912,8058,
243,GN_914,6062,
244,GN_917,6064,111.0
245,GN_921,9663,
246,GN_925,8174,
247,GN_926,8175,
248,GN_931,6360,
249,GN_936,8649,
250,GN_938,9918,
251,GN_944,1460,
252,GN_947,342,
253,GN_950,340,
254,GN_953,756,
255,GN_956,1672,8.0
256,GN_957,1674,7.0
257,GN_959,1672,2.75
258,GN_960,1677,0.0
259,GN_961,1674,3.0
260,GN_967,9256,223.916422411
261,GN_972,5704,
262,GN_974,8897,
