l,branch_name,from_bus,to_bus,suscept,available
1,Branch_1,4107,4202,143.67816091954023,1
2,Branch_2,3058,4023,2000.0,1
3,Branch_3,5283,5298,2000.0,1
4,Branch_4,3446,3716,51.4668039114771,1
5,Branch_5,3203,5170,127.2264631043257,1
6,Branch_6,2894,3094,89.28571428571429,1
7,Branch_7,9313,9487,2000.0,1
8,Branch_8,5623,5710,67.24949562878278,1
9,Branch_9,5623,5802,72.67441860465117,1
10,Branch_10,5623,5652,129.5336787564767,1
11,Branch_11,3459,4437,2000.0,1
12,Branch_12,1892,1915,28.153153153153152,1
13,Branch_13,3507,4415,1123.5955056179776,1
14,Branch_14,3507,3690,182.4817518248175,1
15,Branch_15,3641,4909,159.4896331738437,1
16,Branch_17,3288,4049,96.43201542912247,1
17,Branch_18,3288,5249,138.69625520110958,1
18,Branch_19,3102,5249,87.71929824561404,1
19,Branch_20,3102,3641,107.29613733905579,1
20,Branch_21,3362,5014,107.75862068965517,1
21,Branch_22,3288,5014,375.9398496240602,1
22,Branch_23,3292,4322,57.93742757821553,1
23,Branch_24,3292,3362,74.96251874062969,1
24,Branch_25,2436,2665,11.723329425556859,1
25,Branch_26,4129,4415,289.8550724637681,1
26,Branch_27,4322,4647,36.205648081100655,1
27,Branch_28,2852,3579,112.73957158962796,1
28,Branch_29,3424,3579,75.24454477050413,1
29,Branch_30,2852,2970,58.75440658049354,1
30,Branch_31,3579,4647,50.53057099545225,1
31,Branch_32,4322,4976,28.951939779965258,1
32,Branch_34,3487,4322,46.403712296983755,1
33,Branch_35,3487,3994,18.96453631708705,1
34,Branch_37,1962,2286,342.4657534246575,1
35,Branch_38,3091,3773,160.0,1
36,Branch_39,4255,4380,256.4102564102564,1
37,Branch_40,3161,3773,649.3506493506494,1
38,Branch_41,3161,3403,1639.344262295082,1
39,Branch_42,3403,4380,156.49452269170578,1
40,Branch_46,2073,2441,117.78563015312132,1
41,Branch_48,3402,4257,97.18172983479106,1
42,Branch_49,3402,3753,826.4462809917355,1
43,Branch_50,3753,3774,793.6507936507936,1
