gen,generator_name,n,cap
1,GN_1,2418,
2,GN_7,7032,
3,GN_10,9119,54.0
4,GN_18,9309,
5,GN_22,8106,
6,GN_24,7604,
7,GN_31,1220,36.0
8,GN_32,1227,36.0
9,GN_33,1223,4.941860475
10,GN_39,6170,
11,GN_42,2763,
12,GN_43,2763,
13,GN_51,8169,
14,GN_60,2784,
15,GN_61,2784,
16,GN_67,7516,
17,GN_69,2754,
18,GN_76,9158,
19,GN_90,1257,40.0
20,GN_94,312,61.4
21,GN_95,313,62.0
22,GN_100,2757,
23,GN_102,9373,
24,GN_106,2205,169.3491429708
25,GN_109,6357,
26,GN_110,975,
27,GN_117,519,50.5
28,GN_118,520,50.9
29,GN_122,472,
30,GN_123,473,
31,GN_125,6803,
32,GN_126,2867,
33,GN_132,2387,
34,GN_133,2388,
35,GN_139,9190,
36,GN_144,9007,
37,GN_145,5529,
38,GN_152,4943,
39,GN_156,7934,
40,GN_158,7934,
41,GN_159,7880,
42,GN_160,7880,
43,GN_167,2016,168.749034961
44,GN_172,2018,
45,GN_178,6030,
46,GN_182,8076,
47,GN_185,8078,
48,GN_186,4656,
49,GN_192,60,135.84375
50,GN_193,59,135.84375
51,GN_196,560,51.0
52,GN_199,563,48.4
53,GN_204,5921,
54,GN_205,5918,
55,GN_210,5818,
56,GN_215,6966,
57,GN_221,1470,197.302857024
58,GN_225,1408,28.375
59,GN_226,1407,28.375
60,GN_228,1412,113.5
61,GN_229,8226,292.0
62,GN_230,8228,312.952606587
63,GN_232,8224,154.023696396
64,GN_236,2449,560.0
65,GN_237,2457,785.0
66,GN_241,2450,410.0
67,GN_242,364,43.0
68,GN_247,7875,
69,GN_252,6401,
70,GN_259,5578,
71,GN_260,5578,
72,GN_262,5583,
73,GN_275,687,30.0
74,GN_277,686,121.0625
75,GN_278,681,122.2875
76,GN_282,1560,205.0
77,GN_283,1561,175.517928306
78,GN_286,1125,740.0
79,GN_289,8318,146.1812628
80,GN_296,8054,
81,GN_299,367,44.0
82,GN_308,1436,314.0
83,GN_313,4702,
84,GN_316,401,44.0
85,GN_317,1707,
86,GN_329,4985,
87,GN_330,4985,
88,GN_334,9142,
89,GN_338,6329,
90,GN_339,6329,
91,GN_341,6502,0.0
92,GN_343,2991,1227.0
93,GN_347,7470,
94,GN_356,1704,
95,GN_361,88,154.836601425
96,GN_362,540,
97,GN_366,5079,48.0
98,GN_369,570,
99,GN_370,571,
100,GN_372,971,
101,GN_375,3430,
102,GN_379,3423,82.7
103,GN_383,8776,
104,GN_384,8339,
105,GN_393,2493,54.0
106,GN_395,2494,54.0
107,GN_405,6257,
108,GN_409,5417,
109,GN_413,1551,67.9675
110,GN_422,9371,
111,GN_431,707,0.0
112,GN_434,699,26.0
113,GN_437,705,0.0
114,GN_440,6262,
115,GN_445,7506,
116,GN_455,2410,
117,GN_458,7125,165.7
118,GN_461,9343,
119,GN_463,6891,
120,GN_467,8136,
121,GN_469,8218,
122,GN_472,8046,
123,GN_473,8047,
124,GN_475,6362,
125,GN_477,2809,
126,GN_479,2809,
127,GN_484,7440,
128,GN_487,7835,
129,GN_491,1497,3.275
130,GN_495,1494,4.15
131,GN_497,1498,9.775
132,GN_504,8511,
133,GN_513,4974,
134,GN_515,6192,183.953488175
135,GN_516,6193,197.093023085
136,GN_517,6253,
137,GN_519,4971,
138,GN_522,4999,
139,GN_524,6717,
140,GN_527,6600,
141,GN_534,1569,30.0
142,GN_537,1583,0.0
143,GN_538,1589,
144,GN_539,1590,0.0
145,GN_540,1591,15.0
146,GN_542,1566,26.50306752
147,GN_544,1570,0.0
148,GN_545,1565,0.0
149,GN_547,1563,0.0
150,GN_550,8117,
151,GN_553,2044,299.0
152,GN_558,5056,171.645833155
153,GN_560,5061,189.054263408
154,GN_566,3601,175.063917768
155,GN_570,3602,436.59883529431
156,GN_582,2695,
157,GN_584,6354,
158,GN_586,452,
159,GN_587,8572,
160,GN_590,1156,69.0
161,GN_595,1711,110.925
162,GN_596,1712,132.0
163,GN_597,1714,330.0
164,GN_600,5574,
165,GN_605,9362,
166,GN_615,7083,
167,GN_619,9312,
168,GN_620,9313,
169,GN_627,4596,395.0
170,GN_632,2134,162.092526876
171,GN_633,2136,162.092526876
172,GN_635,2138,158.927383496
173,GN_654,6228,
174,GN_656,2257,
175,GN_660,5749,
176,GN_670,7382,
177,GN_671,7383,
178,GN_686,5553,
179,GN_691,7084,
180,GN_695,9075,
181,GN_703,378,
182,GN_709,9209,
183,GN_710,5752,
184,GN_711,5752,
185,GN_712,5753,
186,GN_717,5575,
187,GN_719,9331,
188,GN_720,9331,
189,GN_721,9332,
190,GN_724,3244,291.67042709
191,GN_749,1778,
192,GN_750,5754,
193,GN_763,6654,
194,GN_769,8756,164.4
195,GN_773,8758,333.83
196,GN_775,7791,
197,GN_788,3468,831.0
198,GN_789,3469,857.0
199,GN_797,7430,
200,GN_800,7740,156.065573688
201,GN_810,532,43.0
202,GN_811,533,42.0
203,GN_812,4901,
204,GN_818,7220,
205,GN_819,5558,
206,GN_820,2910,
207,GN_823,9184,
208,GN_826,6093,
209,GN_827,6092,
210,GN_828,6093,
211,GN_833,2180,247.0
212,GN_837,8925,175.41401256
213,GN_844,8036,
214,GN_846,7909,
215,GN_847,7882,
216,GN_850,8581,
217,GN_852,8100,
218,GN_853,839,
219,GN_862,2212,
220,GN_863,2211,
221,GN_869,6341,
222,GN_870,6341,
223,GN_875,6337,
224,GN_876,6338,
225,GN_878,7854,
226,GN_882,6949,
227,GN_885,2916,122.0
228,GN_886,2917,118.0
229,GN_890,4296,266.5
230,GN_900,8029,
231,GN_903,6007,75.975
232,GN_911,7976,
233,GN_914,2942,
234,GN_919,1266,
235,GN_922,7921,
236,GN_924,7920,
237,GN_925,9187,
238,GN_928,5275,815.0
239,GN_931,3233,
240,GN_934,9379,
241,GN_935,8285,
242,GN_951,5451,105.0
243,GN_960,149,0.0
244,GN_964,8115,
245,GN_966,8524,223.916422411
246,GN_967,8523,223.916422411
247,GN_970,2779,
248,GN_972,2779,
249,GN_974,9348,
250,GN_976,9351,
251,GN_978,8500,322.023696633
252,GN_982,6738,
253,GN_984,8325,
254,GN_986,7393,
255,GN_987,2315,
256,GN_989,6628,179.0
257,GN_996,5433,845.0
258,GN_999,3007,107.0
259,GN_1003,3031,9.9
260,GN_1004,3031,
261,GN_1009,6288,
262,GN_1028,4784,210.13760214
263,GN_1030,7799,
264,GN_1033,5485,
265,GN_1038,6868,73.275
266,GN_1046,6592,
267,GN_1050,8562,50.075
268,GN_1061,9085,
269,GN_1062,4886,
270,GN_1079,2794,
271,GN_1080,2795,
272,GN_1091,4916,
273,GN_1096,495,51.0
274,GN_1103,7460,
275,GN_1105,38,7.125
276,GN_1110,1240,68.868527408
277,GN_1115,1075,176.66666649
278,GN_1123,5607,
279,GN_1127,6646,72.0
280,GN_1131,6556,
281,GN_1132,7372,
282,GN_1133,7371,
283,GN_1134,7373,
284,GN_1135,7374,
285,GN_1137,475,48.5
286,GN_1143,481,51.0
287,GN_1148,6319,
288,GN_1149,7340,
289,GN_1152,1288,30.3278688
290,GN_1154,1289,40.16393445
291,GN_1158,6554,
292,GN_1159,6554,
293,GN_1161,7830,
294,GN_1168,8067,
295,GN_1172,6469,
296,GN_1186,538,
