,l,branch_name,from_bus,to_bus,suscept,available,monitored
0,1,Branch_1,4453,4546,143.67816091954023,1,False
1,2,Branch_2,3413,4372,2000.0,1,False
2,3,Branch_3,3143,3157,2000.0,1,False
3,4,Branch_4,3805,4074,51.4668039114771,1,False
4,5,Branch_5,3027,3563,127.2264631043257,1,False
5,6,Branch_6,3247,3450,89.28571428571429,1,False
6,7,Branch_7,8885,9057,2000.0,1,False
7,8,Branch_8,5389,5480,67.24949562878278,1,False
8,9,Branch_9,5389,5569,72.67441860465117,1,False
9,10,Branch_10,5389,5422,129.5336787564767,1,False
10,11,Branch_11,3822,4768,2000.0,1,False
11,12,Branch_12,2054,2078,28.153153153153152,1,False
12,13,Branch_13,3870,4747,1123.5955056179776,1,False
13,14,Branch_14,3870,4050,182.4817518248175,1,False
14,15,Branch_15,2901,4000,159.4896331738437,1,False
15,16,Branch_16,3655,3723,77.22007722007721,1,False
16,17,Branch_17,3655,4399,96.43201542912249,1,False
17,18,Branch_18,3110,3655,138.69625520110958,1,False
18,19,Branch_19,3110,3458,87.71929824561404,1,False
19,20,Branch_20,3458,4000,107.2961373390558,1,False
20,21,Branch_24,3658,4658,57.93742757821553,1,False
21,22,Branch_25,3658,3723,74.96251874062969,1,False
22,23,Branch_26,1849,2547,11.72332942555686,1,False
23,24,Branch_27,4476,4747,289.8550724637681,1,False
24,25,Branch_28,2763,4658,36.205648081100655,1,False
25,26,Branch_29,3202,3941,112.73957158962796,1,False
26,27,Branch_30,3784,3941,75.24454477050413,1,False
27,28,Branch_31,3202,3324,58.75440658049354,1,False
28,29,Branch_32,2763,3941,50.53057099545225,1,False
29,30,Branch_35,3851,4658,46.403712296983755,1,False
30,31,Branch_36,3851,4343,18.96453631708705,1,False
31,32,Branch_38,2123,2440,342.4657534246575,1,False
32,33,Branch_39,3448,4129,160.0,1,False
33,34,Branch_40,4588,4712,256.4102564102564,1,False
34,35,Branch_41,3516,4129,649.3506493506494,1,False
35,36,Branch_42,3516,3763,1639.344262295082,1,False
36,37,Branch_43,3763,4712,156.49452269170578,1,False
37,38,Branch_47,2228,2552,97.84735812133071,1,False
38,39,Branch_48,3448,4130,150.6024096385542,1,False
39,40,Branch_49,3762,4590,97.18172983479106,1,False
40,41,Branch_50,3762,4109,826.4462809917355,1,False
41,42,Branch_51,4109,4130,793.6507936507936,1,False
42,43,Branch_56,3646,5119,112.6126126126126,1,False
43,44,Branch_59,3525,4529,207.0393374741201,1,False
44,45,Branch_60,3409,4087,78.98894154818325,1,False
45,46,Branch_61,3643,3819,230.4147465437788,1,False
